"Product_Collection","Vertical_Segment","Processor_Number","Status","Launch_Date","Lithography(nm)","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency(MHz)","Cache_Size(MB)","Type_Of_Cache","TDP(Watts)","Max_Memory_Size(GB)","Max_Memory_Bandwidth(GB/s)","Graphics_Base_Frequency(MHz)","Graphics_Max_Dynamic_Frequency(MHz)","Instruction_Set","Recommended_Customer_Price(USD)"
"7th Generation Intel® Core™ i7 Processors","Mobile","i7-7Y75","Launched",2016,14,2,4,1300,4,"SmartCache",4.5,16,29.8,300,1050,"64-bit",393
"8th Generation Intel® Core™ i5 Processors","Mobile","i5-8250U","Launched",2017,14,4,8,1600,6,"SmartCache",15,32,34.1,300,1100,"64-bit",297
"8th Generation Intel® Core™ i7 Processors","Mobile","i7-8550U","Launched",2017,14,4,8,1800,8,"SmartCache",15,32,34.1,300,1150,"64-bit",409
"Intel® Core™ X-series Processors","Desktop","i7-3820","End of Life",2012,32,4,8,3600,10,"SmartCache",130,64.23,51.2,350,1050,"64-bit",305
"7th Generation Intel® Core™ i5 Processors","Mobile","i5-7Y57","Launched",2017,14,2,4,1200,4,"SmartCache",4.5,16,29.8,300,950,"64-bit",281
"Intel® Celeron® Processor 3000 Series","Mobile","3205U","Launched",2015,14,2,2,1500,2,"Original",15,16,25.6,100,800,"64-bit",107
"Intel® Celeron® Processor N Series","Mobile","N2805","Launched",2013,22,2,2,1460,1,"Original",4.3,4,25.6,313,667,"64-bit",107
"Intel® Celeron® Processor J Series","Desktop","J1750","Launched",2013,22,2,2,2410,1,"L2",10,8,25.6,688,750,"64-bit",72
"Intel® Celeron® Processor G Series","Desktop","G1610","Launched",2013,22,2,2,2600,2,"SmartCache",55,32,21,650,1050,"64-bit",42
"Intel® Pentium® Processor 2000 Series","Mobile","2020M","Launched",2012,22,2,2,2400,2,"SmartCache",35,32,25.6,650,1100,"64-bit",134
"Intel® Pentium® Processor 3000 Series","Mobile","3825U","Launched",2015,14,2,4,1900,2,"Original",15,16,25.6,300,850,"64-bit",161
"Intel® Pentium® Processor 4000 Series","Mobile","4405U","Launched",2015,14,2,4,2100,2,"SmartCache",15,32,34.1,300,950,"64-bit",161
"Intel® Pentium® Processor N Series","Mobile","N3710","Launched",2016,14,4,4,1600,2,"L2",6,8,25.6,400,1050,"64-bit",161
"Intel® Pentium® Processor J Series","Desktop","J2850","Launched",2013,22,4,4,2410,2,"L2",10,8,25.6,688,854,"64-bit",94
"Intel® Pentium® Processor J Series","Desktop","J2900","Launched",2013,22,4,4,2410,2,"L2",10,8,21.3,688,896,"64-bit",94
"Intel® Pentium® Processor J Series","Desktop","J3710","Launched",2016,14,4,4,1600,2,"L2",6.5,8,25.6,400,1050,"64-bit",94
"Intel® Pentium® Processor N Series","Mobile","N3700","Launched",2015,14,4,4,1600,2,"L2",6,8,25.6,400,1050,"64-bit",161
"Intel® Pentium® Processor N Series","Mobile","N3510","Launched",2013,22,4,4,2000,2,"Original",7.5,8,25.6,313,750,"64-bit",161
"Intel® Pentium® Processor N Series","Mobile","N3520","Launched",2013,22,4,4,2170,2,"Original",7.5,8,25.6,313,854,"64-bit",161
"Intel® Pentium® Processor N Series","Mobile","N3530","Launched",2014,22,4,4,2160,2,"Original",7.5,8,25.6,313,896,"64-bit",161
"Intel® Pentium® Processor N Series","Mobile","N3540","Launched",2014,22,4,4,2160,2,"L2",7.5,8,21.32,313,896,"64-bit",161
"Intel® Pentium® Processor N Series","Mobile","N4200","Launched",2016,14,4,4,1100,2,"L2",6,8,25.6,200,1050,"64-bit",161
"Intel® Pentium® Processor 4000 Series","Mobile","4405Y","Launched",2015,14,2,4,1500,2,"SmartCache",6,16,29.8,300,800,"64-bit",161
"Intel® Pentium® Processor 4000 Series","Mobile","4415Y","Launched",2017,14,2,4,1600,2,"SmartCache",6,16,29.8,300,850,"64-bit",161
